,team1,team2,Temp,Wind_speed,team1_home_A,Game_id,astroturf,fieldturf,grass,matrixturf,sportturf
226,TB,DET,72,0,0,BDETT1,0,1,0,0,0
227,OAK,MIA,72,0,1,AAIKMO1,0,0,1,0,0
228,DAL,PHI,72,0,1,ADHILP2,0,1,0,0,0
229,TEN,GB,28,15,0,BEGNT1,0,0,1,0,0
230,CIN,HOU,72,0,0,CHINOU1,0,0,1,0,0
231,CHI,JAX,55,5,0,ACHIJX1,0,0,1,0,0
232,ATL,KC,49,8,0,ACKLT1,1,0,0,0,0
233,CLE,NYJ,37,5,0,CEJLNY1,0,1,0,0,0
234,PIT,IND,37,6,1,DIINPT1,0,0,1,0,0
235,NYG,BAL,38,3,0,ABGLNY1,0,0,1,0,0
236,DEN,LAC,72,0,0,ACDELN2,0,0,0,1,0
237,LAR,SEA,45,2,0,AAELRS2,0,1,0,0,0
238,CAR,WSH,41,6,0,ACHRSW1,0,0,1,0,0
239,BUF,NE,41,4,0,BEFNU2,0,0,1,0,0
240,BUF,MIA,35,1,1,ABFIMU2,1,0,0,0,0
241,CAR,NO,57,2,1,ACNOR2,0,0,1,0,0
242,CHI,GB,32,7,1,BCGHI2,0,0,1,0,0
243,BAL,CIN,39,10,0,ABCILN2,0,0,1,0,0
244,CLE,PIT,38,7,1,CEILPT2,0,0,1,0,0
245,JAX,IND,72,0,0,ADIJNX2,0,1,0,0,0
246,DEN,OAK,53,10,1,ADEKNO2,0,0,1,0,0
247,MIN,DET,72,0,0,DEIMNT2,0,1,0,0,0
248,TEN,HOU,72,0,0,EHNOTU2,0,0,1,0,0
249,LAC,KC,35,6,0,ACCKL2,1,0,0,0,0
250,NYJ,NE,33,5,0,EJNNY2,0,0,1,0,0
251,DAL,NYG,33,6,0,ADGLNY2,0,1,0,0,0
252,WSH,PHI,38,10,0,HHIPSW2,0,0,1,0,0
253,ARI,LAR,72,0,0,AAILRR2,0,0,0,1,0
254,SEA,SF,72,0,0,AEFSS2,0,0,1,0,0
255,ATL,TB,65,4,0,ABLTT2,0,0,1,0,0
