,team1,team2,Temp,Wind_speed,team1_home_A,astroturf,fieldturf,grass,matrixturf,sportturf,Game_id
251,DEN,LAC,72,0,0,0,0,0,1,0,ACDELN2
252,DET,SEA,37,0,0,0,1,0,0,0,ADEEST1
253,HOU,SF,50,6,0,0,0,1,0,0,FHOSU1
254,PHI,WSH,62,4,0,0,0,1,0,0,HHIPSW2
255,CLE,PIT,25,12,0,0,0,1,0,0,CEILPT2
256,DEN,KC,41,4,1,0,0,1,0,0,CDEKN2
257,DAL,PHI,31,8,0,0,0,1,0,0,ADHILP2
258,ATL,NO,72,0,1,0,1,0,0,0,ALNOT2
259,NYJ,BUF,36,19,0,1,0,0,0,0,BFJNUY2
260,CIN,CLE,38,22,0,0,0,1,0,0,CCEILN2
261,SEA,ARI,72,0,0,0,0,1,0,0,AAEIRS2
262,GB,DET,72,0,0,0,1,0,0,0,BDEGT2
263,TEN,HOU,72,0,0,1,0,0,0,0,EHNOTU2
264,IND,JAX,76,19,0,0,0,1,0,0,ADIJNX2
265,MIA,NE,75,8,1,0,0,1,0,0,AEIMN2
266,CHI,MIN,72,0,0,0,0,0,0,1,CHIIMN2
267,NYG,WSH,38,0,1,0,1,0,0,0,GHNSWY2
268,LAC,OAK,72,0,0,0,0,1,0,0,AACKLO2
269,LAR,SF,72,0,1,0,0,0,1,0,AFLRS2
270,PIT,BAL,36,0,0,0,0,1,0,0,ABILPT2
271,TB,CAR,80,4,1,0,0,1,0,0,ABCRT2
